"week","description","title","detail","number","session","year","date","categories"
"26","beendet","Befragung der Bundesregierung","Thema: Bericht der Bundesregierung zur internationalen Kooperation in Bildung, Wissenschaft und Forschung 2014 -2016","1","242","2017","28. Juni 2017","[""Wissenschaft, Forschung und Technologie"",""Wissenschaft, Forschung und Technologie""]"
"26","beendet","Fragestunde","Drucksache 18/12876 ","2","242","2017","28. Juni 2017","[""ungültig"",""ungültig""]"
"26","Überweisung","Armuts- und Reichtumsbericht","Beratung der Unterrichtung durch die Bundesregierung Lebenslagen in Deutschland – Fünfter Armuts- und Reichtumsbericht Drucksache 18/11980 ","18","242","2017","28. Juni 2017","[""Soziale Sicherung"",""Gesellschaftspolitik, soziale Gruppen;Soziale Sicherung""]"
"26","Antrag","Östliche Partnerschaft der Europäischen Union","a) Beratung des Antrags der Fraktionen der CDU/CSU und SPD Östliche Partnerschaft der Europäischen Union entschlossen gestalten und konsequent fortsetzen Drucksache 18/12942 b) Beratung des Antrags der Fraktion DIE LINKE. Östliche Partnerschaft für Frieden und Zusammenarbeit in ganz Europa nutzen Drucksache 18/12937 ","3","242","2017","28. Juni 2017","[""Europapolitik und Europäische Union"",""Europapolitik und Europäische Union""]"
"26","Beschlussempfehlung","Bericht des 1. Untersuchungsausschusses (NSA)","Beratung der Beschlussempfehlung und des Berichts des 1. Untersuchungsausschusses nach Artikel 44 des Grundgesetzes Drucksache 18/12850 ","4","242","2017","28. Juni 2017","[""Staat und Verwaltung"",""Innere Sicherheit;Recht""]"
"26","Überweisung","Rüstungsexporte","Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN Rüstungsexporte endlich reduzieren – Frieden, Sicherheit und Menschenrechte bei den Entscheidungen stärken Drucksache 18/12825 ","5","242","2017","28. Juni 2017","[""Wirtschaft"",""""]"
"26","Antrag","Gesundheits- und Pflegeversicherung","a) Beratung des Antrags der Fraktion DIE LINKE. Solidarische Gesundheits- und Pflegeversicherung einführen Drucksache 18/12939 b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Gesundheit (14. Ausschuss) zu dem Antrag der Fraktion DIE LINKE. Solidarische und gerechte Finanzierung von Gesundheit und Pflege Drucksachen 18/11722 , 18/12932 ","6","242","2017","28. Juni 2017","[""Gesundheit;Soziale Sicherung"",""Gesundheit;Soziale Sicherung""]"
"26","Entschließungsantrag","Regierungserklärung: Europäischer Rat und G20-Gipfel","Abgabe einer Regierungserklärung durch die Bundeskanzlerin zum Europäischen Rat am 22. und 23. Juni 2017 in Brüssel und zum G20-Gipfel am 7. und 8. Juli 2017 in Hamburg ","7","243","2017","29. Juni 2017","[""Staat und Verwaltung"",""Außenpolitik und internationale Beziehungen;Europapolitik und Europäische Union""]"
"26","Gesetzentwurf","Strafrecht - nicht genehmigte Kraftfahrzeugrennen","a) Zweite und dritte Beratung des vom Bundesrat eingebrachten Entwurfs eines ... Strafrechtsänderungsgesetzes ‒ Strafbarkeit nicht genehmigter Kraftfahrzeugrennen im Straßenverkehr Drucksache 18/10145 Beschlussempfehlung und Bericht des Ausschusses für Recht und Verbraucherschutz (6. Ausschuss) Drucksache 18/12936 , 18/12964 b) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Recht und Verbraucherschutz (6. Ausschuss) zu dem Antrag der Fraktion BÜNDNIS 90/DIE GRÜNEN Verkehrssicherheit erhöhen – Raserei und illegale Autorennen wirksam bekämpfen Drucksachen 18/12558 , 18/12936 , 18/12964 ","8","243","2017","29. Juni 2017","[""Innere Sicherheit;Recht"",""Recht;Verkehr""]"
"26","Überweisung","Abrüstungspolitik","a) Beratung des Antrags der Fraktion DIE LINKE. Abrüstung jetzt und hier beginnen Drucksache 18/12799 b) Beratung des Antrags der Fraktion DIE LINKE. Keine Orientierung am Zwei-Prozent-Ziel der NATO Drucksache 18/12800 c) Beratung des Antrags der Fraktionen DIE LINKE. und BÜNDNIS 90/DIE GRÜNEN Investitionen in Streumunition und Antipersonenminen verbieten Drucksache 18/12898 d) Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Fraktion DIE LINKE. sowie der Fraktion BÜNDNIS 90/DIE GRÜNEN Verhandlungen über einen Atomwaffenverbotsvertrag aktiv unterstützen Drucksachen 18/11609 , 18/12419 e) Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Fraktion DIE LINKE. Atomwaffen aus Deutschland abziehen und Neustationierung stoppen Drucksachen 18/6808 , 18/12420 ZP1) Unterrichtung durch die Bundesregierung Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale (Jahresabrüstungsbericht 2016) Drucksache 18/11968 ZP2) Unterrichtung durch die Bundesregierung Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale (Jahresabrüstungsbericht 2015) Drucksache 18/8065 ZP3) Unterrichtung durch die Bundesregierung Bericht der Bundesregierung zum Stand der Bemühungen um Rüstungskontrolle, Abrüstung und Nichtverbreitung sowie über die Entwicklung der Streitkräftepotenziale (Jahresabrüstungsbericht 2014) Drucksache 18/4270 ","9 + ZP 1-3","243","2017","29. Juni 2017","[""Außenpolitik und internationale Beziehungen;Wirtschaft"",""Verteidigung""]"
"26","Namentliche Abstimmung über Beschlussempfehlung","Bundeswehreinsatz im Mittelmeer (EUNAVFOR MED)","– Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Bundesregierung Fortsetzung der Beteiligung bewaffneter deutscher Streitkräfte an EUNAVFOR MED Operation SOPHIA Drucksachen 18/12491 , 18/12868 – Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung Drucksache 18/12869 Namentliche Abstimmung","10","243","2017","29. Juni 2017","[""Verteidigung"",""Verteidigung""]"
"26","Beschlussempfehlung","Bericht des 3. Untersuchungsausschusses (NSU)","Beratung der Beschlussempfehlung und des Berichts des 3. Untersuchungsausschusses nach Artikel 44 des Grundgesetzes Drucksache 18/12950 ","11","243","2017","29. Juni 2017","[""Innere Sicherheit"",""Innere Sicherheit;Recht""]"
"26","beendet","Aktuelle Stunde zur parlamentarischen Kontrolle in Zeiten der großen Koalition","Aktuelle Stunde auf Verlangen der Fraktion BÜNDNIS 90/DIE GRÜNEN Parlamentarische Kontrolle in Zeiten der großen Koalition","ZP 4","243","2017","29. Juni 2017","[""Bundestag"",""Bundestag;Politisches Leben, Parteien""]"
