,id,profile_url,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,615227,https://www.abgeordnetenwatch.de/profile/ulla-schmidt/archive/216739,0,22,Vizepräsidentin Ulla Schmidt,Ulla Schmidt,ulla-schmidt,1665.0,,"Einen schönen guten Tag! Bitte nehmen Sie Platz. Die Sitzung ist eröffnet.

Ich rufe den Tagesordnungspunkt 1 auf:

Befragung der Bundesregierung

Die Bundesregierung hat als Thema der heutigen Kabinettssitzung mitgeteilt: Bericht der Bundesregierung 2013 nach § 7 des Gesetzes zur Einsetzung eines Nationalen Normenkontrollrates.

Das Wort für den einleitenden fünfminütigen Bericht hat der Staatsminister bei der Bundeskanzlerin Dr. Helge Braun. - Bitte schön.",TOP 1 Befragung der Bundesregierung,13841,chair,18
1,615228,https://www.abgeordnetenwatch.de/profile/dr-helge-braun-0,1,22,"Dr. Helge Braun, Staatsminister bei der Bundeskanzlerin",Dr. Helge Braun,helge-braun,1890.0,,"Vielen Dank. - Frau Präsidentin! Liebe Kolleginnen und Kollegen! Das Bundeskabinett hat heute den Bericht zum Bürokratieabbau 2013 behandelt und beschlossen. Das Gesetz zur Einsetzung eines Nationalen Normenkontrollrates verpflichtet uns, jährlich einen solchen Bericht abzugeben.

Wenn Sie sich den Bericht ansehen, stellen Sie fest, dass sich seit 2006, als wir das Thema Bürokratieabbau institutionell auf den Weg gebracht haben, vieles verändert hat. Wir haben zahlreiche Verfahren etabliert. Dazu gehören die Einsetzung des Normenkontrollrates und die damit verbundene Bewertung aller neuen Gesetzesvorhaben. Hinzu kommt, dass wir - diese Regelung ist seit März 2013 in Kraft - alle neuen Gesetzesvorhaben nach Ablauf von zwei Jahren einer Ex-post-Evaluierung unterwerfen. Wir wollen uns schrittweise alle Gesetzesvorhaben ansehen, bei denen wir davon ausgehen, dass sie einen Erfüllungsaufwand von über 1 Million Euro bedeuten. Auf diese Weise wollen wir auch in der Bestandsgesetzgebung vermeidbare Bürokratiekosten identifizieren und nach Möglichkeit beseitigen.

Im Bericht sind viele Zahlen zu finden. Das liegt zum Beispiel daran, dass wir in den letzten Jahren den Bürokratiekostenindex eingeführt haben, der die Bürokratiekosten im engeren Sinne erfasst. Der Bürokratiekostenindex lag im Jahr 2012 bei einem Wert von 100,27, im Jahr 2013 bei 100,31. Das ist eine Steigerung um 0,04. Das heißt, die Bürokratiekosten sind im Wesentlichen konstant geblieben; es hat nur eine kleine Steigerung der laufenden Belastungen gegeben.

Wenn wir uns anschauen, was das in absoluten Zahlen heißt und wie sich die Entwicklung des Erfüllungsaufwands auf die Wirtschaft, die Verwaltung und die Bürgerinnen und Bürger auswirkt, stellen wir fest, dass die Wirtschaft im Jahr 2013 eine Zunahme ihres laufenden Erfüllungsaufwands um 1,6 Milliarden Euro, die Verwaltung um 245 Millionen Euro und die Bürgerinnen und Bürger um 472 Millionen Euro zu verzeichnen hatten.

Wenn man sich ansieht, welcher der größte Brocken innerhalb des Ganzen ist, dann stellt man fest, dass die Energieeinsparverordnung die größten Kosten verursacht hat. Man muss allerdings dazusagen, dass zum Erfüllungsaufwand nicht nur die Bürokratiekosten, sondern auch die Investitions- und Maßnahmenkosten, die durch dieses Gesetzgebungsverfahren entstehen, gehören. Das heißt, dass zum Beispiel die Kosten, die sich durch die energetische Sanierung von Gebäuden für die Wirtschaft ergeben, in die Berechnung einfließen. Die Energieeinsparungen, die wir dadurch erzielen wollen, und der politische Zweck dieser Gesetzgebung stehen also den Kosten gegenüber.

In Zukunft wollen wir uns den verschiedenen Lebensbereichen der Bürgerinnen und Bürger und der Wirtschaft auch in Form eines Lebenslagenmodells nähern. Auf diese Weise wollen wir überprüfen, wie sich Lebenslagen, in denen die Bürger in besonderem Maße mit Bürokratie konfrontiert werden, zum Beispiel beim Kauf eines Autos, bei einer Geburt oder im Falle eines Nachlasses, auswirken und wie man die Bürokratie in solchen Lebenslagen durch das Zusammenspiel unterschiedlicher Rechtsakte reduzieren kann.

Sie finden in dem Bericht auch zahlreiche Beispiele aus dem Bereich der Pflegeleistungen und anderer Sozialleistungen. Hier haben wir Projekte auf den Weg gebracht, mit denen Vereinfachungen bei der Gesetzgebung erreicht werden sollen. Einige Projekte sind im Jahre 2013 abgeschlossen worden; andere, die besonders erfolgreich waren, werden im Jahr 2014 fortgesetzt.

Insofern kann man resümieren, dass es bei einer im Jahr 2013 im Wesentlichen auf unverändertem Niveau fortgesetzten Belastung von Bürgern, Verwaltung und Wirtschaft mit Bürokratie noch zahlreiche Projekte gibt, mit denen wir etwas verändern wollen. Aber natürlich gibt es auch neue Regelungsvorhaben, die den Bürokratieaufwand möglicherweise erhöhen. Die Bundesregierung wird im Mai ein Arbeitsprogramm verabschieden, mit dem wir weitere Projekte mit dem Ziel des Bürokratieabbaus auf den Weg bringen.",TOP 1 Befragung der Bundesregierung,13841,speech,18
2,615229,https://www.abgeordnetenwatch.de/profile/ulla-schmidt/archive/216739,2,22,Vizepräsidentin Ulla Schmidt,Ulla Schmidt,ulla-schmidt,1665.0,,"Ich bitte, zunächst Fragen zu dem Themenbereich zu stellen, über den gerade berichtet wurde. Es hat sich der Kollege Grund gemeldet. Bitte schön.",TOP 1 Befragung der Bundesregierung,13841,chair,18
3,615230,https://www.abgeordnetenwatch.de/profile/manfred-grund/archive/213924,3,22,Manfred Grund (CDU/CSU),Manfred Grund,manfred-grund,1814.0,cducsu,"Vielen Dank, Herr Staatsminister, für Ihren Bericht über die Arbeit des Normenkontrollrates und über die Einsparungen, die für die Verwaltung, die Bürger und die Wirtschaft damit verbunden sind. Wie muss man sich das konkret vorstellen? Wie nimmt der Normenkontrollrat Einfluss auf ein Gesetzgebungsverfahren oder auf dessen Ergebnis? Wie fließt dies wiederum in das Gesetzgebungsverfahren ein? Also: Wie sieht die Arbeit eigentlich konkret aus?",TOP 1 Befragung der Bundesregierung,13841,speech,18
4,615231,https://www.abgeordnetenwatch.de/profile/dr-helge-braun-0,4,22,"Dr. Helge Braun, Staatsminister bei der Bundeskanzlerin",Dr. Helge Braun,helge-braun,1890.0,,"Vielen Dank. - Die Bundesregierung hat Empfehlungen für die einzelnen Ressorts herausgegeben. Jedes Ressort muss jetzt bereits bei der Erstellung eines Gesetzgebungsverfahrens den Erfüllungsaufwand konkret beziffern und diesen bei der Vorlage des Gesetzestextes transparent machen. Darüber hinaus wird der Erfüllungsaufwand vor der Verabschiedung im Kabinett und zukünftig auch nach der Verabschiedung im Bundestag nachberechnet, sodass für jeden, der im Deutschen Bundestag eine Entscheidung trifft, aber auch für die Bevölkerung transparent wird, wie hoch der Erfüllungsaufwand des jeweiligen Gesetzes ist. In der nächsten Woche werden wir für den Deutschen Bundestag, die Mitarbeiterinnen und Mitarbeiter der Abgeordneten wie auch die Verwaltung, eine Veranstaltung durchführen, in der der Normenkontrollrat, das Statistische Bundesamt und das Bundeskanzleramt über die verschiedenen Berichts- und Mitteilungsformen informieren, damit Sie als Abgeordnete diese Informationen in die Beratungen des Gesetzgebungsverfahrens und in Ihre Entscheidung einbeziehen können.",TOP 1 Befragung der Bundesregierung,13841,speech,18
5,615232,https://www.abgeordnetenwatch.de/profile/ulla-schmidt/archive/216739,5,22,Vizepräsidentin Ulla Schmidt,Ulla Schmidt,ulla-schmidt,1665.0,,Vielen Dank. - Jetzt eine Frage des Kollegen Dr. Gambke.,TOP 1 Befragung der Bundesregierung,13841,chair,18
6,615233,https://www.abgeordnetenwatch.de/profile/dr-thomas-gambke,6,22,Dr. Thomas Gambke (BÜNDNIS 90/DIE GRÜNEN),Dr. Thomas Gambke,thomas-gambke,1824.0,gruene,"Vielen Dank, Frau Präsidentin. - Herr Staatsminister, Sie haben in Ihren Ausführungen davon gesprochen, dass Bürokratie aufgebaut worden ist. Ich fand die einleitenden Worte bemerkenswert; denn Sie haben die Verfahren beschrieben, die wir gehabt haben. Ich als Mittelstandsbeauftragter meiner Fraktion sage: Bürokratieaufbau ist im Moment das Thema des Mittelstands. Sie selber haben darauf hingewiesen, dass zu über 60 Prozent die Unternehmen betroffen sind.

Nun zu meiner Frage. Wir hatten 2007 das Ziel, die Bürokratiekosten um 25 Prozent zu senken. Wie Sie eben ausgeführt haben, hatten wir leider im letzten Jahr einen Anstieg der Bürokratiekosten in Höhe von 1,5 Milliarden Euro. Hinzu kommt ein Erfüllungsaufwand, also ein Umstellungsaufwand, in Höhe von 4 Milliarden Euro. Das ist eine erhebliche Summe. Meine Frage an Sie: Hat die Bundesregierung sich mit der Frage befasst, wie jetzt neue Ziele gesetzt werden können? Wie lauten diese quantitativen Ziele, und für welchen Zeitraum gelten sie?",TOP 1 Befragung der Bundesregierung,13841,speech,18
7,615234,https://www.abgeordnetenwatch.de/profile/dr-helge-braun-0,7,22,"Dr. Helge Braun, Staatsminister bei der Bundeskanzlerin",Dr. Helge Braun,helge-braun,1890.0,,"Vielen Dank. - Sie haben richtig darauf hingewiesen, dass wir in den vergangenen Jahren den Erfüllungsaufwand für die Wirtschaft um 25 Prozent reduziert haben. Das war eine große Anstrengung. Zu der Reduzierung haben zwei Bereiche maßgeblich beigetragen: Der eine ist der Bereich der Bilanzierungsregeln bei den Unternehmen, in dem eine Entlastung von über 2 Milliarden Euro stattgefunden hat. Der andere ist der Bereich der elektronischen Rechnungsstellung, wo ein Teil der Entlastung der Wirtschaft zwar frühzeitig mit der Gesetzgebung bilanziert worden ist; aber die Entlastungwirkung hält in dem Maße an, wie die elektronische Rechnungsstellung in der Realität der Unternehmen ankommt. Das heißt, es gibt durch das Projekt der Reduzierung der Kosten aus gesetzlichen Informationspflichten um 25 Prozent bis heute Entlastungswirkungen.

Wenn man in die Zukunft schaut, muss man mit Blick auf diejenigen, die sich mit Bürokratieabbau beschäftigen, eines sehr deutlich sagen: Man kann natürlich immer überlegen, ob ein Gesetz den jeweiligen Erfüllungsaufwand rechtfertigt. So hat der Deutsche Bundestag die von der Bundesregierung novellierte Energieeinsparverordnung befürwortet, weil wir Klimaziele und politische Ziele erfüllen wollen und das Ganze in der Sache für richtig halten. Dem Erfüllungsaufwand stehen - ganz abgesehen von den ökologischen Zielen - ökonomische Vorteile durch Energieeinsparung gegenüber. Insofern ist es die Aufgabe derer, die sich mit dem Bürokratieabbau beschäftigen, nicht alle Regelungen der Zukunft generell infrage zu stellen, sondern zu schauen: Kann man den politisch erwünschten Zweck möglicherweise einfacher erreichen? Nach dem deutlichen Abbau der Bürokratie in der Anfangszeit lautet die Aufgabe jetzt, in laufenden Gesetzgebungsverfahren den Zuwachs an Bürokratie nach Möglichkeit zu verhindern oder zu begrenzen. Neue Projekte, mit denen wir den Bürokratieaufwand der Unternehmen, deren Zukunft uns natürlich am Herzen liegt, deutlich reduzieren wollen, werden wir dann in dem neuen Arbeitsprogramm der Bundesregierung vorstellen.",TOP 1 Befragung der Bundesregierung,13841,speech,18
8,615235,https://www.abgeordnetenwatch.de/profile/ulla-schmidt/archive/216739,8,22,Vizepräsidentin Ulla Schmidt,Ulla Schmidt,ulla-schmidt,1665.0,,"Vielen Dank, Herr Staatsminister. - Ich sehe keine weiteren Fragen zu diesem Themenbereich.",TOP 1 Befragung der Bundesregierung,13841,chair,18
9,615236,https://www.abgeordnetenwatch.de/profile/dr-thomas-gambke,9,22,Dr. Thomas Gambke [BÜNDNIS 90/DIE GRÜNEN],Dr. Thomas Gambke,thomas-gambke,1824.0,gruene,Doch!,TOP 1 Befragung der Bundesregierung,13841,poi,18
