,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,117972,0,126,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Liebe Kolleginnen und Kollegen! Ich begrüße Sie herzlich zum Tagesordnungspunkt 1 dieser Woche:

Befragung der Bundesregierung

Die Bundesregierung hat als Thema der gestrigen Kabinettssitzung mitgeteilt: Entwurf eines Asylverfahrensbeschleunigungsgesetzes und Verordnung zum Asylverfahrensbeschleunigungsgesetz.

Dazu hätten im Übrigen, wenn ich mir das erlauben darf, ruhig ein paar mehr Kollegen anwesend sein können, insbesondere in Anbetracht des Ausmaßes der Debatten innerhalb und außerhalb des Parlaments zu diesem Thema; dies steht aber einer gründlichen Befassung mit dem Thema nicht im Wege.

(Britta Haßelmann [BÜNDNIS 90/DIE

GRÜNEN]: Dann kann ich ja zufrieden sein!)

- Frau Kollegin, wenn Sie die Zahl der Anwesenden in Relation zur Sollstärke Ihrer Fraktion setzen, werden Sie meine Eingangsbemerkung nicht für völlig deplatziert halten können.",TOP 1 Befragung der Bundesregierung,2326,chair,18
1,117973,1,126,Volker Beck (Köln) [BÜNDNIS 90/DIE GRÜNEN],Volker Beck,volker-beck,614.0,gruene,Dann hat Frau Haßelmann den Pokal gewonnen!,TOP 1 Befragung der Bundesregierung,2326,poi,18
2,117974,2,126,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"- Ja, gut. Diesen virtuellen Wettbewerb können wir ja auch einmal ausschreiben.

Ich erlaube mir die Anregung, dass mir die PGFs signalisieren, wenn es bereits erkennbare Fragewünsche gibt. Dann können wir das vorab ein bisschen sortieren.

Das Wort für den einleitenden fünfminütigen Bericht zum soeben genannten Thema hat der Bundesminister des Innern, Herr Dr. Thomas de Maizière.",TOP 1 Befragung der Bundesregierung,2326,chair,18
3,117975,3,126,"Dr. Thomas de Maizière, Bundesminister des Innern",Dr. Thomas de Maizière,thomas-de-maiziere,259.0,,"Herr Präsident! Liebe Kolleginnen und Kollegen! Das Bundeskabinett hat gestern ein umfangreiches Gesetzespaket beschlossen. Wir werden morgen dazu die erste Lesung haben und in dem Rahmen natürlich noch einmal ausführlich debattieren. Das Gesetzespaket ist Teil der Umsetzung der Maßnahmen, die die neue Lage erforderlich macht, und Ergebnis des sogenannten Flüchtlingsgipfels am Donnerstag, dem 24. September 2015. Zu diesem Thema gehören natürlich sehr viele Aspekte, die sicher gleich Gegenstand der Fragen und auch Gegenstand der morgigen Debatte sein werden.

Ich will mich zur Einführung auf die wesentlichen Elemente dieses Gesetzgebungspakets beschränken. Dieses Gesetzgebungspaket besteht aus mehreren wichtigen Teilen:

Erstens. Durch Standarderleichterungen im Bauplanungsrecht, im Emissionsschutzrecht sowie in anderen Rechtsgebieten ermöglichen wir es den Ländern und Kommunen, die Aufnahme und Unterbringung von Flüchtlingen zügig durchzuführen, insbesondere in Anbetracht des kommenden Winters. Nicht geregelt sind die Bereiche, die zum Landesrecht gehören, also das Bauordnungsrecht, das Brandschutzrecht oder das Denkmalschutzrecht; hier können wir nichts regeln. Aber das, was wir regeln konnten, haben wir geregelt. Das war ein besonderer Wunsch der Länder. Ich halte es für sehr wichtig, in dieser Phase zu helfen. Viele dieser Regeln sind befristet. Ich glaube aber, es ist wichtig, in dieser Notlage schnell menschenwürdige, winterfeste, adäquate Unterkünfte bauen zu können.

Der zweite Schwerpunkt bezieht sich auf Maßnahmen zur Beschleunigung des Verfahrens, und zwar in vielerlei Hinsicht. Ich möchte hier nur einen Aspekt nennen: Die Betroffenen sind nach diesem Gesetz verpflichtet, bis zu sechs Monate in einer Erstaufnahmeeinrichtung zu bleiben; bei Menschen aus sicheren Herkunftsstaaten gilt dies bis zum Abschluss des Verfahrens. Das ist eine Verpflichtung, die sich an die Ausländer richtet, und keine Rechtsverpflichtung, die sich an die Länder richtet. Gleichwohl haben wir uns durch die Schaffung von Erstaufnahmeeinrichtungen gemeinsam vorgenommen, die Verfahren zu beschleunigen; das ist dort leichter möglich als bei einer sehr frühen dezentralen Unterbringung.

Drittens. Es gibt viele Maßnahmen zur Verbesserung der Versorgung von Asylbewerbern: Impfungen, psychische Betreuung, auch die Option für die Länder, auf der Basis eines Bundesgesetzes, das Teil dieses Paketes ist, eine Gesundheitskarte einzuführen. Die Leistungen dieser Gesundheitskarte werden aber von Beginn an auf dem abgesenkten Niveau des Asylbewerberleistungsgesetzes erfolgen.

Viertens. Wir wollen mit diesem Gesetz Fehlanreize beseitigen, die dazu führen, dass viele Menschen nach Deutschland kommen und sich falsche Hoffnungen machen. Außerdem gelingt es uns mit diesem Gesetz besser, zu erreichen, dass diejenigen, die längst negativ abgeschlossene Verfahren haben und trotzdem unser Land nicht verlassen, ausreisen. Im Gesetzentwurf enthalten sind auch Leistungskürzungen für vollziehbar Ausreisepflichtige. Ebenso enthalten ist das Thema „Sachleistungen statt Taschengeld“ in einer abgestuften Form zwischen Erstaufnahmeeinrichtung und sonstiger Unterbringung. Daneben findet sich in dem Gesetzentwurf ein Beschäftigungsverbot bei offensichtlich unbegründetem Asylantrag. Wir wollen auch die Strafbarkeit für Schleuser verschärfen und die Gegenstände, mit denen sie Menschen nach Deutschland schleppen und durch die sie kriminelle Verdienste haben, einziehen können.

Fünftens. Wir wollen diejenigen, von denen wir wissen, dass sie bleiben, früh, rechtzeitig und gut integrieren. Dazu gehören der Zugang zu Sprachkursen, der Zugang zu Berufsförderungskursen sowie eine bessere Vernetzung zwischen Integrationskursen und berufsbezogenen Sprachkursen. Dazu gehören viele Dinge, mit denen wir ermöglichen, dass die Integration nicht durch lange Verfahren in Erstaufnahmeeinrichtungen oder anderswo verzögert oder für später erschwert wird.

Wir regeln, dass alle Staaten des westlichen Balkans sichere Herkunftsstaaten werden. Das ist ein Wunsch dieser Länder. Das wird auch durch die entsprechende Anerkennungsquote reflektiert. Es ist auch die übereinstimmende Position aller Staaten der Europäischen Union. Gleichzeitig werden für Bürger der Westbalkanstaaten legale Migrationsmöglichkeiten geschaffen, ohne einen Korridor. Wenn sie von einem dieser Staaten nach Deutschland wollen, können sie, wenn sie einen Arbeitsvertrag haben und ein Beschäftigungsverhältnis nachweisen können, unter der Voraussetzung der Vorrangprüfung, die schnell abgearbeitet werden soll, legal nach Deutschland migrieren.

Der letzte Punkt, der Teil dieses Gesetzentwurfes ist, ist eine Finanzierungsregelung. Der Bund hat selbst gewaltige zusätzliche Aufgaben im Zusammenhang mit dem Thema Flüchtlinge. Es entstehen Kosten in den Herkunftsländern und den Transitländern. Es wird mehr Geld für die Ernährung und Versorgung in Flüchtlingslagern bereitgestellt, damit sich nicht noch mehr Menschen aufmachen. Wir werden höhere Hartz-IV-Leistungen finanzieren müssen. Wir brauchen mehr Mittel für das Bundesamt für Migration und Flüchtlinge, auch für zusätzliche Stellen. Wir brauchen mehr Geld für Integrationskurse. Wir brauchen mehr Geld für die Bundespolizei. Ich sage das deswegen, damit deutlich wird, dass nicht nur Länder und Kommunen zusätzliche Bedarfe und Kosten haben, sondern auch der Bund. Das wird teilweise schon im Nachtragshaushalt geregelt; überwiegend wird das aber Teil der Beratungen zum Bundeshaushalt 2016 sein.

Bezüglich der Finanzhilfen für die Länder haben wir uns, was sich auch in diesem Gesetzentwurf widerspiegelt, auf ein Finanzierungsmodell verständigt, das, bezogen auf eine bestimmte zu erwartende Anzahl von Asylantragstellern, bezogen auf die Dauer der Verfahren und bezogen auf jeden einzelnen Asylbewerber - ein atmendes, strukturelles, dynamisches Finanzierungsmodell -, sicherstellt, dass wir uns - das haben wir uns jedenfalls vorgenommen - zwischen Bund und Ländern in Zukunft nicht mehr darüber streiten.",TOP 1 Befragung der Bundesregierung,2326,speech,18
4,117976,4,126,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Herr Minister, denken Sie ein bisschen an die Zeit.",TOP 1 Befragung der Bundesregierung,2326,chair,18
5,117977,5,126,"Dr. Thomas de Maizière, Bundesminister des Innern",Dr. Thomas de Maizière,thomas-de-maiziere,259.0,,"Ich bin sofort fertig. - Dazu kommen 350 Millionen Euro zur Finanzierung unbegleiteter Minderjähriger und 500 Millionen Euro für den sozialen Wohnungsbau, nicht nur für Flüchtlinge, sondern für alle, die den sozialen Wohnungsbau benötigen.

Das ist, Herr Präsident, in groben Zügen der Inhalt des Gesetzentwurfs.",TOP 1 Befragung der Bundesregierung,2326,speech,18
6,117978,6,126,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,Vielen Dank. - Die erste Nachfrage hat der Kollege Wunderlich.,TOP 1 Befragung der Bundesregierung,2326,chair,18
7,117979,7,126,Jörn Wunderlich (DIE LINKE),Jörn Wunderlich,jorn-wunderlich,357.0,linke,"Vielen Dank, Herr Präsident. - Herr Minister, ein Bundessozialrichter hat bereits öffentlich erklärt, dass Kürzungen des Existenzminimums mit migrationspolitischer Begründung verfassungswidrig und ein offener Verstoß gegen das Urteil des Bundesverfassungsgerichts aus dem Jahre 2012 sind. Da sind sich eigentlich alle Fachleute einig. Wenn man jetzt schaut, welche Begründung für die Kürzung im Gesetzentwurf steht, dann findet man nichts. Deswegen frage ich mich: Wie kann es sein, dass sich die Bundesregierung mit diesem maßgeblichen Urteil zu den Leistungen nach dem Asylbewerberleistungsgesetz nicht einmal auseinandersetzt? Und deswegen muss ich Sie heute hier fragen: Wie begründen Sie diesen offenen Verstoß gegen die Entscheidung des Bundesverfassungsgerichts, das Existenzminimum aus migrationspolitischen Gründen zu kürzen?",TOP 1 Befragung der Bundesregierung,2326,speech,18
8,117980,8,126,"Dr. Thomas de Maizière, Bundesminister des Innern",Dr. Thomas de Maizière,thomas-de-maiziere,259.0,,"Ich halte das nicht für einen Verstoß gegen die Verfassung und auch nicht für einen Verstoß gegen dieses Urteil,",TOP 1 Befragung der Bundesregierung,2326,speech,18
9,117981,9,126,Sabine Leidig [DIE LINKE],Sabine Leidig,sabine-leidig,594.0,linke,"Ja, Sie! Das ist es aber! Ganz offensichtlich!",TOP 1 Befragung der Bundesregierung,2326,poi,18
