,id,profile_url,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,534946,https://www.abgeordnetenwatch.de/profile/norbert-lammert,0,143,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Nehmen Sie bitte Platz. Die Sitzung ist eröffnet.

Ich begrüße Sie alle herzlich, liebe Kolleginnen und Kollegen, freue mich über die ausnehmend gute Stimmung vor dem Aufruf des ersten Tagesordnungspunktes und hoffe, dass uns die über den gesamten Tag begleitet. Ich sehe eine gewisse Chance, dass bei der ersten Mitteilung die Stimmung mindestens stabil bleibt, wenn nicht weiter gesteigert wird, wenn ich dem Kollegen Heinz Riesenhuber herzlich zu seinem 80. Geburtstag gratuliere, den er vorgestern gefeiert hat.",TOP 3 Tierschutz,14639,chair,18
1,534947,,1,143,,,,,,Lebhafter Beifall,TOP 3 Tierschutz,14639,poi,18
2,534948,https://www.abgeordnetenwatch.de/profile/norbert-lammert,2,143,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Es kommt nicht häufig vor, dass wir hier im Haus einen 80. Geburtstag feiern können, und es kommt auch nicht allzu häufig vor, dass Geburtstage mit einer solch erkennbar demonstrativen Sympathie aller anwesenden Kolleginnen und Kollegen begangen werden.",TOP 3 Tierschutz,14639,chair,18
3,534949,,3,143,,,,,,Beifall,TOP 3 Tierschutz,14639,poi,18
4,534950,https://www.abgeordnetenwatch.de/profile/norbert-lammert,4,143,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Alle guten Wünsche für die nächsten Jahre.

Dann ist es mir eine besondere Freude, dass ich auf der Ehrentribüne eine Delegation der Knesset unter Vorsitz des Knesset-Präsidenten Yuli Edelstein begrüßen darf.",TOP 3 Tierschutz,14639,chair,18
5,534951,,5,143,,,,,,Beifall,TOP 3 Tierschutz,14639,poi,18
6,534952,https://www.abgeordnetenwatch.de/profile/norbert-lammert,6,143,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen, wir hatten in den beiden vergangenen Tagen in vielen Begegnungen und Gesprächen die Gelegenheit, wechselseitig die herausragende Bedeutung der Beziehung zwischen unseren beiden Ländern zu bekräftigen und dies gleichzeitig mit konkreten Vereinbarungen zur weiteren Intensivierung der Zusammenarbeit unserer beiden Parlamente zu verbinden. Wir bedanken uns ausdrücklich für Ihren Besuch und die Art und Weise, in der Sie mit uns gesprochen haben. Wir freuen uns auf die weitere Zusammenarbeit.",TOP 3 Tierschutz,14639,chair,18
7,534953,,7,143,,,,,,Beifall,TOP 3 Tierschutz,14639,poi,18
8,534954,https://www.abgeordnetenwatch.de/profile/norbert-lammert,8,143,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,1754,,"Es gibt eine interfraktionelle Vereinbarung, nach dem Tagesordnungspunkt 15 als Zusatzpunkte die Beratung der Beschlussempfehlung auf Drucksache 18/6909 zu dem Entwurf eines Gesetzes zur Änderung von Bestimmungen des Rechts des Energieleitungsbaus sowie danach die Beratung der Beschlussempfehlung auf Drucksache 18/6910 zu dem Entwurf eines Gesetzes zur Neuregelung des Kraft-Wärme-Kopplungsgesetzes mit einer Debattenzeit von jeweils 25 Minuten aufzurufen. Dabei soll von der Frist für den Beginn der Beratungen abgewichen werden. Der Tagesordnungspunkt 8 - hier geht es um die abschließende Beratung des Entwurfs des Vergaberechtsmodernisierungsgesetzes - soll abgesetzt werden. Die Tagesordnungspunkte der Koalitionsfraktionen rücken entsprechend vor. Des Weiteren soll der Tagesordnungspunkt 25 abgesetzt werden; hier geht es um die Unterrichtung der Bundesregierung zur technologischen Leistungsfähigkeit Deutschlands 2015. Sind Sie mit diesen Änderungen einverstanden? - Das ist offensichtlich der Fall. Dann ist das so beschlossen.

Ich rufe die Tagesordnungspunkte 3 a und 3 b auf:

a)	Unterrichtung durch die Bundesregierung

Bericht über den Stand der Entwicklung des Tierschutzes 2015 (Tierschutzbericht 2015)

Drucksache 18/6750

b)	Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Ernährung und Landwirtschaft (10. Ausschuss) zu dem Antrag der Abgeordneten Nicole Maisch, Friedrich Ostendorff, Steffi Lemke, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN

Tierschutz ernst nehmen - Tierleid verhindern

Drucksachen 18/2616, 18/3107

Überweisungsvorschlag:

Ausschuss für Ernährung und Landwirtschaft (f)

Ausschuss für Recht und Verbraucherschutz

Ausschuss für Umwelt, Naturschutz, Bau und Reaktor­sicherheit

Ausschuss für Bildung, Forschung und Technikfolgen­abschätzung

Nach einer interfraktionellen Vereinbarung sind für die Aussprache 77 Minuten vorgesehen. - Das scheint allgemein auf Zustimmung zu stoßen. Dann können wir so verfahren.

Ich eröffne die Aussprache und erteile das Wort dem zuständigen Bundesminister, Christian Schmidt.",TOP 3 Tierschutz,14639,chair,18
9,534955,,9,143,,,,,,Beifall bei der CDU/CSU und der SPD,TOP 3 Tierschutz,14639,poi,18
