,id,sequence,sitzung,speaker,speaker_cleaned,speaker_fp,speaker_key,speaker_party,text,top,top_id,type,wahlperiode
0,199259,0,182,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Nehmen Sie bitte Platz. Die Sitzung ist eröffnet.

Liebe Kolleginnen und Kollegen! Ich begrüße Sie herzlich. Bevor wir in unsere Tagesordnung eintreten, möchte ich Ihnen mitteilen, dass es eine interfraktionelle Vereinbarung gibt, den Tagesordnungspunkt 36 - hier geht es um den Entwurf eines Gesetzes zur Neuregelung des Mutterschutzrechts - bereits heute als letzten Tagesordnungspunkt aufzurufen. Die Debatte darüber war für diese Woche ohnehin vorgesehen. Sie wird aus nachvollziehbaren Gründen jetzt etwas vorgezogen.

Des Weiteren soll die Unterrichtung der Bundesregierung über die Stellungnahme des Bundesrates und die Gegenäußerung der Bundesregierung zu dem bereits überwiesenen Entwurf eines Vierten Gesetzes zur Änderung des GAK-Gesetzes auf der Drucksache 18/8958 an den federführenden Ausschuss für Ernährung und Landwirtschaft sowie zur Mitberatung an den Innenausschuss, den Ausschuss für Wirtschaft und Energie sowie den Ausschuss für Umwelt, Naturschutz, Bau und Reaktorsicherheit überwiesen werden.

Sind Sie damit einverstanden? - Das ist offensichtlich der Fall. Dann ist das so beschlossen.

Ich rufe unseren Tagesordnungspunkt 1 auf:

Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Einführung von Ausschreibungen für Strom aus erneuerbaren Energien und zu weiteren Änderungen des Rechts der erneuerbaren Energien",TOP 2 Befragung der Bundesregierung,2717,chair,18
1,199260,1,182,,,,,,Erneuerbare-Energien-Gesetz,TOP 2 Befragung der Bundesregierung,2717,poi,18
2,199261,2,182,,,,,,EEG 2016,TOP 2 Befragung der Bundesregierung,2717,poi,18
3,199262,3,182,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Drucksachen 18/8832, 18/8972

Überweisungsvorschlag:

Ausschuss für Wirtschaft und Energie (f)

Ausschuss für Recht und Verbraucherschutz

Finanzausschuss

Ausschuss für Ernährung und Landwirtschaft

Ausschuss für Verkehr und digitale Infrastruktur

Ausschuss für Umwelt, Naturschutz, Bau und Reaktorsicherheit

Ausschuss für die Angelegenheiten der Europäischen Union

Haushaltsausschuss

Eine Aussprache dazu ist für heute nicht vorgesehen; also können wir gleich die Überweisung beschließen. Interfraktionell wird die Überweisung des Gesetzentwurfes auf den Drucksachen 18/8832 und 18/8972 an die in der Tagesordnung aufgeführten Ausschüsse vorgeschlagen. Gibt es andere Vorschläge zur Überweisung? - Das ist nicht der Fall. Dann ist die Überweisung so beschlossen.

Für diejenigen, die sich fragen, warum dies nicht diskutiert wird: Wir haben über dieses Thema natürlich vielfach diskutiert. Jetzt reden wir über eine gesetzliche Konstruktion, die wir selbstverständlich in zweiter und dritter Lesung, wenn der Gesetzentwurf die endgültige Ausgestaltung in den Ausschussberatungen gefunden hat, hier noch einmal diskutieren werden.

Ich rufe den Tagesordnungspunkt 2 auf:

Befragung der Bundesregierung

Die Bundesregierung hat als Thema der heutigen Kabinettssitzung mitgeteilt: Gesetzentwurf zum Übereinkommen von Paris vom 12. Dezember 2015. Hier geht es um Klimaschutzfragen und -vereinbarungen.

Das Wort für einen einleitenden fünfminütigen Bericht hat die Bundesministerin für Umwelt, Naturschutz, Bau und Reaktorsicherheit, Frau Hendricks. - Bitte sehr.",TOP 2 Befragung der Bundesregierung,2717,chair,18
4,199263,4,182,"Dr. Barbara Hendricks, Bundesministerin für Umwelt, Naturschutz, Bau und Reaktorsicherheit",Dr. Barbara Hendricks,barbara-hendricks,536.0,,"Herr Präsident! Liebe Kolleginnen und Kollegen! Das Bundeskabinett hat heute den Gesetzentwurf zum Übereinkommen von Paris beschlossen. Wir bekennen uns damit ganz klar zu den Zielen dieses Abkommens und sind bereit, die Verantwortung für einen möglichst zügigen Ratifikationsprozess zu übernehmen.

Deutschland kann mit der zügigen Annahme des Vertragsgesetzes zur Ratifikation ein klares Zeichen setzen, nämlich dass wir den Klimaschutz vorantreiben. Wir haben gerade in den vergangenen Tagen beim Petersberger Klimadialog mit unseren Partnerländern darüber diskutiert. Im letzten Jahr haben wir beim Klimadialog noch überlegt, wie ein anspruchsvolles Klimaabkommen erreicht werden könnte. Dieses Jahr konnten wir uns gemeinsam darüber freuen, dass sich die Anstrengungen gelohnt haben. Das Pariser Abkommen ist schließlich ein großer Erfolg der internationalen Zusammenarbeit. Die Welt ist in der Tat ein Stück zusammengerückt. Die Diskussionen beim diesjährigen Petersberger Klimadialog standen selbstverständlich ganz im Zeichen von Paris. Es geht um nicht weniger als den weltweiten Wandel hin zu einer treibhausgasneutralen Wirtschafts- und Lebensweise.

Liebe Kolleginnen und Kollegen, das Paris-Abkommen und die 2030-Agenda für nachhaltige Entwicklung sind Leitlinien. Und wir sehen bereits, dass die Herausforderungen in allen Teilen der Welt angepackt werden: Indien hat mit seinen Zielen für den Ausbau von erneuerbaren Energien neue Maßstäbe gesetzt. China wird seine Ziele wahrscheinlich übererfüllen. Länder wie Äthiopien und Marokko gehen mit ambitionierten Plänen und Maßnahmen in ihren Regionen voran.

Auch aus Ländern mit großen Ölreserven hören wir interessante Pläne: Norwegen überlegt zum Beispiel, bereits bis zum Jahr 2030 treibhausgasneutral zu werden, 20 Jahre früher als bisher geplant. Und selbst in Saudi-Arabien wird über Reformen nachgedacht, um unabhängiger vom Öl zu werden. Die drei Länder Nordamerikas, Kanada, USA und Mexiko, haben sich das Ziel gesetzt, bis zum Jahr 2025 die Hälfte ihres Stroms aus nichtfossilen Quellen zu generieren.

Auch wenn diese Maßnahmen insgesamt noch nicht ausreichen, sind das alles doch ermutigende Signale.

Liebe Kolleginnen und Kollegen, üblich ist, dass alle EU-Mitgliedstaaten gleichzeitig ihre Ratifikationsurkunden hinterlegen, da wir das Abkommen ja auch gemeinsam umsetzen wollen. Die Bundesregierung hat das Ziel, dass das Ratifikationsgesetz noch vor der nächsten Klimakonferenz in Marrakesch im November beschlossen wird. Wir glauben, dass das ein starkes Signal an die Konferenz wäre. Dafür ist allerdings ein straffer Zeitplan einzuhalten, was wiederum nur mit der Unterstützung des Deutschen Bundestages und des Bundesrates möglich sein wird. Ich möchte Sie an dieser Stelle herzlich um Ihre Unterstützung bitten, damit wir mit Ratifikationsbeschluss nach Marrakesch fahren können.

Liebe Kolleginnen und Kollegen, wir haben beim Petersberger Klimadialog auch über Langfriststrategien gesprochen. Es hat sich gezeigt, dass ein reges Interesse an unserem Klimaschutzplan besteht. Wir werden noch in diesem Herbst den Klimaschutzplan 2050 beschließen, der darlegt, wie wir die vereinbarten 80 bis 95 Prozent Treibhausgasreduzierung in Deutschland erreichen wollen. Es geht um den schrittweisen Ausstieg aus Kohle, Öl und Gas. Und es geht darum, dass wirklich alle Sektoren in vollem Umfang zum Erreichen dieses Ziels beitragen.

Weltweit wird beachtet, wie ein großes Industrieland diese Herausforderungen meistert. Natürlich teilen wir gerne alle Erfahrungen, die wir auf diesem Weg machen und gemacht haben, die guten wie auch die schlechten. Wir führen zum Beispiel mit den USA Gespräche auf Arbeitsebene darüber, wie wir unseren Plan entwickelt haben. Mit dem Klimaschutzplan haben wir die Möglichkeit, ein Referenzwerk vorzulegen, an dem sich andere Länder orientieren. Diese Chance sollten wir nutzen.

Liebe Kolleginnen und Kollegen, Deutschland wird auch die Entwicklungsländer bei der Umsetzung ihrer nationalen Ziele, der sogenannten NDCs, und bei der Anpassung an den Klimawandel noch stärker unterstützen. Dazu streben wir an, unsere Klimafinanzierung bis zum Jahr 2020 zu verdoppeln. Außerdem werden wir gemeinsam mit anderen Partnerländern eine NDC-Partnerschaft gründen, mit der wir die Umsetzung der in Paris angekündigten Beiträge unterstützen. Das war auch ein wichtiges Thema beim Klimadialog. Ministerkollege Müller und ich haben die Partnerschaft dort vorgestellt.

Liebe Kolleginnen und Kollegen, wenn wir das Paris-Abkommen ernst nehmen, dann müssen wir ein schnelles Inkrafttreten ermöglichen. Die Bundesregierung ist dazu entschlossen. Der Kabinettsbeschluss zum Ratifikationsgesetz war auf diesem Weg ein wichtiger Schritt.

Herzlichen Dank.",TOP 2 Befragung der Bundesregierung,2717,speech,18
5,199264,5,182,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,"Vielen Dank, Frau Ministerin, auch für die vorbildliche Einhaltung der Redezeit. Das gelingt nicht allen Mitgliedern der Regierung in ähnlich überzeugender Weise. - Die erste Nachfrage hat die Kollegin Baerbock.",TOP 2 Befragung der Bundesregierung,2717,chair,18
6,199265,6,182,Annalena Baerbock (BÜNDNIS 90/DIE GRÜNEN),Annalena Baerbock,annalena-baerbock,410.0,gruene,"Vielen Dank, Frau Ministerin. - Vielen Dank auch für den Petersberger Klimadialog. Das Motto war ja „Making the Paris Agreement a reality“, also das Paris-Abkommen mit Leben zu füllen. Sie haben gerade die zahlreichen positiven Beispiele angesprochen: Sie haben den Ausbau der Erneuerbaren in Indien dargestellt. Sie haben auch den Einsatz von CO2-armen Technologien in Nordamerika erwähnt; bis zum Jahr 2025 soll deren Anteil mindestens 50 Prozent betragen. Wie passt dazu aus Ihrer Sicht die am Freitag hier im Parlament zu treffende Entscheidung über den Vorschlag der Bundesregierung, den Ausbau der erneuerbaren Energien im ehemaligen Vorzeigeland Deutschland im Jahr 2025 bei 45 Prozent zu deckeln, was deutlich unter den Vorgaben des Fahrplans von Paris liegt und was auch - Sie haben Vergleichsbeispiele ja gerade aufgezeigt - unter dem liegt, was andere Länder weltweit derzeit tun?",TOP 2 Befragung der Bundesregierung,2717,speech,18
7,199266,7,182,"Dr. Barbara Hendricks, Bundesministerin für Umwelt, Naturschutz, Bau und Reaktorsicherheit",Dr. Barbara Hendricks,barbara-hendricks,536.0,,"Frau Kollegin Baerbock, ja, Sie haben recht: Es entspricht der Koalitionsvereinbarung, dass der Ausbau der erneuerbaren Energien bis zum Jahr 2025 bei 45 Prozent gedeckelt werden soll. Dies ist Gegenstand der Novelle zum Erneuerbare-Energien-Gesetz, deren Verabschiedung in dieser Woche ansteht. Meine Einschätzung ist, dass wir uns in der nächsten Legislaturperiode dieses Themas noch einmal annehmen, sodass wir nicht bei 45 Prozent im Jahr 2025 stehen bleiben werden.",TOP 2 Befragung der Bundesregierung,2717,speech,18
8,199267,8,182,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,494.0,,Frau Bulling-Schröter.,TOP 2 Befragung der Bundesregierung,2717,chair,18
9,199268,9,182,Eva Bulling-Schröter (DIE LINKE),Eva Bulling-Schröter,eva-bulling-schroter,595.0,linke,"Danke schön, Frau Ministerin. - Vor uns liegt ja die Aufgabe, die Klimaerwärmung auf 1,5 Grad zu begrenzen. Das ist das Ziel, das wir dringend erreichen müssen. Meine Frage an Sie lautet: Wie bewerten Sie unser Klimaschutzziel, den CO2-Ausstoß bis 2020 um 40 Prozent zu reduzieren, im Hinblick auf das 1,5-Grad-Ziel? Ist es nicht so, dass wir hier noch nachschärfen müssen?",TOP 2 Befragung der Bundesregierung,2717,speech,18
