"id","wahlperiode","sitzung","title","description","detail","number","title_clean","week","year","category","duration","held_on","sequence","name","session_identifier"
12703,18,191,"TOP Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-09-23",0,"Sitzungseröffnung","TOP"
12704,18,191,"TOP 38 Lage der Religions- und Weltanschauungsfreiheit","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung der Unterrichtung durch die Bundesregierung<br>Bericht der Bundesregierung zur weltweiten Lage der Religions- und Weltanschauungsfreiheit<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/087/1808740.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/8740 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/8740</a>
                              </div>","38","Lage der Religions- und Weltanschauungsfreiheit",38,2016,"Gesellschaftspolitik, soziale Gruppen",85,"2016-09-23",1,"Lage der Religions- und Weltanschauungsfreiheit","TOP 38"
12705,18,191,"TOP 9 Erleichterung der Einbürgerung","Überweisung","<div class=""bt-top-collapse collapse"">
                a) Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Britische Staatsangehörige rasch und unkompliziert einbürgern<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/096/1809669.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/9669 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/9669</a><br>b) Erste Beratung des von der Fraktion BÜNDNIS 90/DIE GRÜNEN <br>eingebrachten Entwurfs eines Gesetzes <br>zur Erleichterung der Einbürgerung und zur Ermöglichung der mehrfachen Staatsangehörigkeit<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/056/1805631.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/5631 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/5631</a><br> 
                              </div>","9","Erleichterung der Einbürgerung",38,2016,"Ausländerpolitik, Zuwanderung",75,"2016-09-23",2,"Erleichterung der Einbürgerung","TOP 9"
12706,18,191,"TOP 40 Drittes Pflegestärkungsgesetz","Überweisung","<div class=""bt-top-collapse collapse"">
                a) Erste Beratung des von der Bundesregierung<br>eingebrachten Entwurfs eines Dritten Gesetzes<br>zur Stärkung der pflegerischen Versorgung und zur Änderung weiterer Vorschriften <br>(Drittes Pflegestärkungsgesetz – PSG III)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/095/1809518.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/9518 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/9518</a><br>b) Beratung des Antrags derFraktion DIE LINKE. <br>Pflege teilhabeorientiert und wohnortnah gestalten<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/087/1808725.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/8725 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/8725</a><br>c) Beratung des Antrags der Fraktion BÜNDNIS 90/DIE GRÜNEN<br>Pflege vor Ort gestalten – Bessere Bedingungen für eine nutzerorientierte Versorgung schaffen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/096/1809668.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/9668 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/9668</a><br>
                              </div>","40","Drittes Pflegestärkungsgesetz",38,2016,"Arbeit und Beschäftigung;Gesundheit",50,"2016-09-23",3,"Drittes Pflegestärkungsgesetz","TOP 40"
12707,18,191,"TOP 41 Polizeikräfteeinsatz in Friedensmissionen","Antrag","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Fraktionen CDU/CSU, SPD und BÜNDNIS 90/DIE GRÜNEN<br>Deutsches Engagement beim Einsatz von Polizistinnen und Polizisten in internationalen Friedensmissionen stärken und ausbauen<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/096/1809662.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/9662 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/9662</a><br>
                              </div>","41","Polizeikräfteeinsatz in Friedensmissionen",38,2016,"Außenpolitik und internationale Beziehungen;Innere Sicherheit",45,"2016-09-23",4,"Polizeikräfteeinsatz in Friedensmissionen","TOP 41"
12708,18,191,"TOP 42 Wochenhöchstarbeitszeit","Überweisung","<div class=""bt-top-collapse collapse"">
                Beratung des Antrags der Fraktion DIE LINKE. <br>Wochenhöchstarbeitszeit begrenzen und Arbeitsstress reduzieren<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/087/1808724.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/8724 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/8724</a>
                              </div>","42","Wochenhöchstarbeitszeit",38,2016,"Arbeit und Beschäftigung;Wirtschaft",45,"2016-09-23",5,"Wochenhöchstarbeitszeit","TOP 42"
12709,18,191,"TOP Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-09-23",6,"Sitzungsende","TOP"
13050,18,119,"TOP Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-09-08",0,"Sitzungseröffnung","TOP"
13051,18,119,"TOP 1 Einbringung Haushaltsgesetz 2015, Finanzplan","beendet","<div class=""bt-top-collapse collapse"">
                a) Erste Beratung des von der Bundesregierung <br>eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2016 (Haushaltsgesetz 2016)<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/055/1805500.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/5500 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/5500</a><br><br>b) Beratung der Unterrichtung durch die Bundesregierung <br>Finanzplan des Bundes 2015 bis 2019<br>Drucksache <a target=""_blank"" href=""http://dip.bundestag.de/btd/18/055/1805501.pdf"" class=""dipLink"" title=""Die PDF-Datei Drucksache 18/5501 öffnet sich in einem neuen Fenster""><i class=""icon-doc""></i>18/5501</a>
                              </div>","1","Einbringung Haushaltsgesetz 2015, Finanzplan",37,2015,"Öffentliche Finanzen, Steuern und Abgaben",40,"2015-09-08",1,"Einbringung Haushaltsgesetz 2015, Finanzplan","TOP 1"
13052,18,119,"TOP 1 Epl 08, ... Allgemeine Finanzdebatte","beendet","<div class=""bt-top-collapse collapse"">
                Allgemeine Finanzdebatte<br>(einschl. Einzelpläne 08, 20, 32, 60)
                              </div>","1 Epl 08, ...","Allgemeine Finanzdebatte",36,2016,"Öffentliche Finanzen, Steuern und Abgaben",120,"2015-09-08",2,"Epl 08, ... Allgemeine Finanzdebatte","TOP 1"
13053,18,119,"TOP 1 Epl 15 Gesundheit","beendet","<div class=""bt-top-collapse collapse"">
                Erste Beratung der Bundesregierung<br>Einzelplan 15 (Gesundheit)
                              </div>","1 Epl 15","Gesundheit",36,2016,"Gesundheit",110,"2015-09-08",3,"Epl 15 Gesundheit","TOP 1"
13054,18,119,"TOP 1 Epl 07 Justiz und Verbraucherschutz","beendet","<div class=""bt-top-collapse collapse"">
                Erste Beratung des von der Bundesregierung <br>Einzelplan 07 (Justiz und Verbraucherschutz)
                              </div>","1 Epl 07","Justiz und Verbraucherschutz",36,2016,"Recht",105,"2015-09-08",4,"Epl 07 Justiz und Verbraucherschutz","TOP 1"
13055,18,119,"TOP 1 Epl 06 Innen","beendet","<div class=""bt-top-collapse collapse"">
                Erste Beratung des von der Bundesregierung <br>Einzelplan 06 (Inneres)
                              </div>","1 Epl 06","Innen",37,2015,"ungültig",110,"2015-09-08",5,"Epl 06 Innen","TOP 1"
13056,18,119,"TOP Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2015-09-08",6,"Sitzungsende","TOP"
13537,18,253,"TOP ZP  Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-03",0,"Sitzungseröffnung","TOP ZP"
13538,18,253,"TOP  GO-Debatte","Geschäftsordnungsantrag auf Absetzung des Tagesordnungspunktes 33 abgelehnt","<div class=""bt-top-collapse collapse"">
                Geschäftsordnungsdebatte<br>Antrag auf Absetzung des Tagesordnungspunktes 33
                              </div>","","GO-Debatte",27,2016,NULL,20,"2013-09-03",1,"GO-Debatte","TOP"
13539,18,253,"TOP 3 Situation in Deutschland",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-03",2,"Situation in Deutschland","TOP 3"
13540,18,253,"TOP ZP 1 Beschlussempfehlungen des Petitionsausschusses",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-03",3,"Beschlussempfehlungen des Petitionsausschusses","TOP ZP 1"
13541,18,253,"TOP  Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-03",4,"Sitzungsende","TOP"
13542,18,252,"TOP ZP  Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-02",0,"Sitzungseröffnung","TOP ZP"
13543,18,252,"TOP 1 Untersuchungsausschussbericht NSU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-02",1,"Untersuchungsausschussbericht NSU","TOP 1"
13544,18,252,"TOP 2 Untersuchungsausschussbericht Euro Hawk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-02",2,"Untersuchungsausschussbericht Euro Hawk","TOP 2"
13545,18,252,"TOP  Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-09-02",3,"Sitzungsende","TOP"
13546,18,251,"TOP  Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",0,"Sitzungseröffnung","TOP"
13547,18,251,"TOP 69, ZP 21 Hilfefonds zur Bewältigung der Hochwasserkatastrophe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",1,"Hilfefonds zur Bewältigung der Hochwasserkatastrophe","TOP 69, ZP 21"
13548,18,251,"TOP 70 Ost-West-Angleichung im Rentenrecht",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",2,"Ost-West-Angleichung im Rentenrecht","TOP 70"
13549,18,251,"TOP ZP 22, 72 Betreuungsgeld",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",3,"Betreuungsgeld","TOP ZP 22, 72"
13550,18,251,"TOP ZP 23, 24 Bildung in Kitas und in der Tagespflege",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",4,"Bildung in Kitas und in der Tagespflege","TOP ZP 23, 24"
13551,18,251,"TOP ZP 25 - ZP 27 Standortauswahlgesetz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",5,"Standortauswahlgesetz","TOP ZP 25 - ZP 27"
13552,18,251,"TOP 71, ZP 28 Berufliche Bildung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",6,"Berufliche Bildung","TOP 71, ZP 28"
13553,18,251,"TOP 73 Menschenrechte und Demokratie in der Welt",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",7,"Menschenrechte und Demokratie in der Welt","TOP 73"
13554,18,251,"TOP 75 50. Jahrestag der Kennedy-Rede in Berlin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",8,"Jahrestag der Kennedy-Rede in Berlin","TOP 75 50."
13555,18,251,"TOP 77 Schutz syrischer Flüchtlinge",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",9,"Schutz syrischer Flüchtlinge","TOP 77"
13556,18,251,"TOP  Sitzungsende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-28",10,"Sitzungsende","TOP"
13557,18,250,"TOP ZP  Sitzungseröffnung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",0,"Sitzungseröffnung","TOP ZP"
13558,18,250,"TOP 4 Hilfefonds zur Bewältigung der Hochwasserkatastrophe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",1,"Hilfefonds zur Bewältigung der Hochwasserkatastrophe","TOP 4"
13559,18,250,"TOP 5, ZP 4 Regierungserklärung zum G8-Gipfel und Europäischem Rat",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",2,"Regierungserklärung zum G8-Gipfel und Europäischem Rat","TOP 5, ZP 4"
13560,18,250,"TOP 6 Pflegereform",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",3,"Pflegereform","TOP 6"
13561,18,250,"TOP 79, ZP 5, ZP 6 - 11 Abschließende Beratungen ohne Aussprache",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",4,"Abschließende Beratungen ohne Aussprache","TOP 79, ZP 5, ZP 6 - 11"
13562,18,250,"TOP ZP 12 Aktuelle Stunde zu den Wahlversprechen von CDU/CSU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",5,"Aktuelle Stunde zu den Wahlversprechen von CDU/CSU","TOP ZP 12"
13563,18,250,"TOP 20 Eindämmung unseriöser Geschäftspraktiken",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",6,"Eindämmung unseriöser Geschäftspraktiken","TOP 20"
13564,18,250,"TOP 8 Arbeitnehmerüberlassung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",7,"Arbeitnehmerüberlassung","TOP 8"
13565,18,250,"TOP 9 Bundeswehreinsatz im Libanon (UNIFIL)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",8,"Bundeswehreinsatz im Libanon (UNIFIL)","TOP 9"
13566,18,250,"TOP 10 Bekämpfung der Steuerflucht und Vermögensabgabe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",9,"Bekämpfung der Steuerflucht und Vermögensabgabe","TOP 10"
13567,18,250,"TOP 11 Bundeswehreinsatz in Mali (MINUSMA)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",10,"Bundeswehreinsatz in Mali (MINUSMA)","TOP 11"
13568,18,250,"TOP 12 Dopingbekämpfung im Sport",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",11,"Dopingbekämpfung im Sport","TOP 12"
13569,18,250,"TOP 13 Einkommensteuerrecht - Gleichstellung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",12,"Einkommensteuerrecht - Gleichstellung","TOP 13"
13570,18,250,"TOP 14 Kooperation von Bund und Ländern in der Bildung",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",13,"Kooperation von Bund und Ländern in der Bildung","TOP 14"
13571,18,250,"TOP 15 Transparenz im Prozess der Organspende",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",14,"Transparenz im Prozess der Organspende","TOP 15"
13572,18,250,"TOP 16 Unabhängigkeit der Justiz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2013-06-27",15,"Unabhängigkeit der Justiz","TOP 16"
